category,goal,pledged,funded,blurb_adj,blurb_noun,blurb_verb,blurb_total,full_adj,full_noun,full_verb,full_total,train
Music,2250,36,FALSE,0,0.333333333,0.166666667,24,0.071847507,0.205278592,0.139296188,682,0
Photography,2500,0,FALSE,0,0.208333333,0.208333333,24,0.104046243,0.202312139,0.115606936,173,1
Film & Video,750,20,FALSE,0.090909091,0.227272727,0.136363636,22,0.076142132,0.21319797,0.147208122,197,0
Games,1000,187,FALSE,0.066666667,0.266666667,0.133333333,15,0.11875,0.1,0.23125,160,0
Film & Video,60000,25,FALSE,0.1,0.15,0.1,20,0.051282051,0.230769231,0.128205128,78,1
Film & Video,4300,1090,FALSE,0.142857143,0.19047619,0.142857143,21,0.065630397,0.136442142,0.126079447,579,1
Publishing,6000,6425,TRUE,0.136363636,0.227272727,0.181818182,22,0.094420601,0.154506438,0.13304721,233,1
Games,5000,4600,FALSE,0,0.136363636,0.090909091,22,0.063870968,0.153548387,0.161290323,1550,0
Art,500,324.3,FALSE,0.153846154,0.153846154,0.153846154,13,0.063732929,0.150227618,0.182094082,659,1
Publishing,6000,6521,TRUE,0.136363636,0.227272727,0.136363636,22,0.070804196,0.15472028,0.158216783,1144,1
Publishing,15000,0,FALSE,0.043478261,0.043478261,0.173913043,23,0.054755043,0.126801153,0.204610951,347,0
Music,1500,100,FALSE,0.095238095,0.380952381,0.095238095,21,0.141762452,0.222222222,0.137931034,261,1
Music,3500,20,FALSE,0.047619048,0.047619048,0.19047619,21,0.08839779,0.154696133,0.187845304,181,1
Technology,7022,8169,TRUE,0,0.272727273,0.227272727,22,0.061714286,0.154285714,0.157714286,875,0
Fashion,2500,0,FALSE,0.1,0.2,0.1,20,0.099056604,0.169811321,0.160377358,212,0
Theater,12000,975,FALSE,0.04,0.12,0.08,25,0.053571429,0.133116883,0.172077922,616,0
Publishing,500,259,FALSE,0.153846154,0.230769231,0,13,0.09566787,0.182310469,0.146209386,554,1
Art,2000,210,FALSE,0.1,0.25,0.2,20,0.063439065,0.160267112,0.178631052,599,1
Design,12750,3069,FALSE,0.1,0.1,0.25,20,0.066513761,0.126146789,0.211009174,436,0
Food,10000,352,FALSE,0.052631579,0.210526316,0.157894737,19,0.120943953,0.197640118,0.174041298,339,0
Theater,500,0,FALSE,0.047619048,0.142857143,0.095238095,21,0.081081081,0.121621622,0.202702703,74,0
Music,433,931.23,TRUE,0.15,0.25,0.1,20,0.049222798,0.168393782,0.152849741,386,1
Dance,5000,181,FALSE,0.08,0.2,0.24,25,0.113948919,0.198428291,0.147347741,509,0
Games,100,100,TRUE,0,0.35,0.2,20,0.047393365,0.208530806,0.170616114,211,0
Food,600,612,TRUE,0,0.103448276,0.275862069,29,0.05,0.125,0.21875,160,1
Music,15000,649,FALSE,0,0.090909091,0.181818182,11,0.040650407,0.162601626,0.20596206,369,0
Photography,250,1038,TRUE,0.111111111,0.277777778,0.166666667,18,0.093650794,0.153968254,0.161904762,630,0
Photography,12000,770,FALSE,0,0.277777778,0.111111111,18,0.054054054,0.155405405,0.202702703,148,0
Music,5000,2525,FALSE,0,0.222222222,0,9,0.056603774,0.188679245,0.103773585,106,1
Art,2000,2168,TRUE,0.066666667,0.133333333,0.333333333,15,0.078804348,0.14673913,0.157608696,368,0
Music,6200,3780,FALSE,0.047619048,0.19047619,0.285714286,21,0.091176471,0.144117647,0.142647059,680,1
Food,40000,56,FALSE,0.090909091,0.181818182,0.136363636,22,0.121052632,0.168421053,0.205263158,380,1
Music,10000,5040,FALSE,0.083333333,0.208333333,0.166666667,24,0.060658579,0.133448873,0.211438475,577,0
Music,3000,10,FALSE,0.083333333,0.166666667,0.125,24,0.072463768,0.173913043,0.101449275,69,0
Film & Video,6500,386,FALSE,0.038461538,0.076923077,0.115384615,26,0.080128205,0.165598291,0.143162393,936,0
Design,3500,6290,TRUE,0.130434783,0.086956522,0.130434783,23,0.096069869,0.174672489,0.133624454,1145,0
Design,5000,2695,FALSE,0.090909091,0.227272727,0.227272727,22,0.079034029,0.175631175,0.13611416,911,1
Film & Video,50000,51205,TRUE,0.181818182,0.090909091,0.227272727,22,0.063397129,0.141148325,0.175837321,836,0
Art,2500,5239,TRUE,0,0.142857143,0.142857143,21,0.066066066,0.183183183,0.165165165,333,0
Fashion,15000,19199,TRUE,0.368421053,0.105263158,0.157894737,19,0.105395232,0.188205772,0.146800502,797,1
Publishing,4000,0,FALSE,0.047619048,0.19047619,0.142857143,21,0.073529412,0.176470588,0.1875,272,0
Technology,33000,2636,FALSE,0,0.291666667,0.208333333,24,0.083179298,0.231053604,0.175600739,541,0
Music,9650,2435,FALSE,0.142857143,0.285714286,0.142857143,14,0.108225108,0.177489177,0.147186147,231,1
Film & Video,10000,4901,FALSE,0.047619048,0.238095238,0.095238095,21,0.100950988,0.174103877,0.122896854,1367,0
Fashion,3500,3540,TRUE,0,0.192307692,0.230769231,26,0.096938776,0.214285714,0.173469388,196,0
Design,10000,9,FALSE,0,0.206896552,0.206896552,29,0.033816425,0.106280193,0.256038647,207,0
Publishing,5000,0,FALSE,0.076923077,0.076923077,0.307692308,26,0.050403226,0.10483871,0.264112903,496,0
Photography,43500,24801,FALSE,0.15,0.35,0.1,20,0.072765073,0.161469161,0.157311157,1443,1
Film & Video,1200,1200,TRUE,0.086956522,0.260869565,0,23,0.064599483,0.149870801,0.175710594,387,1
Comics,25000,30142,TRUE,0.176470588,0.176470588,0.058823529,17,0.069282137,0.156093489,0.150250417,1198,0
Theater,3500,4256.11,TRUE,0.181818182,0.272727273,0.045454545,22,0.099841521,0.123613312,0.142630745,631,0
Photography,15000,429,FALSE,0,0.076923077,0.192307692,26,0.058333333,0.166666667,0.166666667,240,1
Music,700,2508.01,TRUE,0.076923077,0.269230769,0.153846154,26,0.045283019,0.130188679,0.147169811,530,0
Design,30000,1841,FALSE,0.19047619,0.333333333,0.095238095,21,0.102167183,0.190402477,0.176470588,646,0
Technology,32000,305,FALSE,0.157894737,0.157894737,0.105263158,19,0.078825348,0.199381762,0.173106646,647,1
Technology,32000,33987.34,TRUE,0.111111111,0.222222222,0.222222222,9,0.093321918,0.178938356,0.14640411,1168,0
Publishing,2500,5828,TRUE,0.176470588,0.117647059,0.176470588,17,0.073529412,0.122352941,0.120588235,1700,0
Film & Video,5500,0,FALSE,0.08,0.16,0.12,25,0.065420561,0.174454829,0.186915888,321,1
